key,en,pt,es,zh-cn,zh-tw,ko,zh-hk
track-slug,cloud-ml-apis,cloud-ml-apis-pt,cloud-ml-apis-es,cloud-ml-apis-zh-cn,cloud-ml-apis-zh-tw,cloud-ml-apis-ko,cloud-ml-apis-hk
track-title,Cloud ML APIs (en),APIs do Cloud ML (pt),APIs de aprendizaje automático de Cloud (es),Cloud ML API (zh-cn),Cloud ML API (zh-tw),Cloud ML API (ko),雲端機器學習 API
track-teaser,Access Google's ready to use machine learning models.,Conheça os modelos de machine learning prontos para uso do Google.,Accede a los modelos de aprendizaje automático listos para usarse de Google.,使用 Google 现成可用的机器学习模型。,使用 Google 現成的機器學習模型。,즉시 사용 가능한 Google의 머신러닝 모델에 액세스합니다.,存取 Google 可立即使用的機器學習模型。
track-description,"# What are the Cloud Machine Learning APIs?
Cloud ML APIs provide access to use machine learning models. These APIs include Cloud Vision, Cloud Video Intelligence, Cloud Natural Language, Cloud Speech, Cloud Translate, and many more.
![](https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/cloud-ml-apis.png)","# O que são as APIs de machine learning do Google Cloud?
As APIs de ML do Google Cloud fornecem acesso a modelos de machine learning. Elas incluem a Cloud Vision, Cloud Video Intelligence, Cloud Natural Language, Cloud Speech, Cloud Translate e muitas outras.
![](https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/cloud-ml-apis.png)","# ¿Qué son las API de aprendizaje automático de Cloud?
Las API de aprendizaje automático de Cloud permiten utilizar modelos de aprendizaje automático. Entre estas API se incluyen: Cloud Vision, Cloud Video Intelligence, Cloud Natural Language, Cloud Speech, Cloud Translation y muchas otras.
![](https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/cloud-ml-apis.png)","# Cloud Machine Learning API 是什么？
Cloud ML API 可让您使用机器学习模型。这些 API 包括 Cloud Vision、Cloud Video Intelligence、Cloud Natural Language、Cloud Speech、Cloud Translate 等。
![](https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/cloud-ml-apis.png)","# 什麼是 Cloud Machine Learning API？
Cloud ML API 系列提供了機器學習模型的使用介面。這些 API 包括 Cloud Vision、Cloud Video Intelligence、Cloud Natural Language、Cloud Speech 和 Cloud Translate 等等。
![](https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/cloud-ml-apis.png)","# Cloud Machine Learning API란 무엇인가요?
Cloud ML API는 머신러닝 모델 액세스 권한을 제공하며 여기에는 Cloud Vision, Cloud Video Intelligence, Cloud Natural Language, Cloud Speech, Cloud Translate 등이 포함되어 있습니다.
![](https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/cloud-ml-apis.png)","#什麽是「雲端機器學習 API」？
 您可透過雲端機器學習 API 使用機器學習模型。這些 API 包括：Cloud Vision、Cloud Video Intelligence、Cloud Natural Language、Cloud Speech 和 Cloud Translate 等。
 ![](https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/cloud-ml-apis.png)"
challenge-1-title,Level 1: Analyze an Image,Nível 1: análise de imagem,Nivel 1: Analizar una imagen,第 1 关：分析图片,第 1 級：分析圖片,수준 1: 이미지 분석,第 1 級：分析圖片
challenge-1-teaser,Show you can detect information about an image.,Mostre que você consegue detectar informações sobre uma imagem.,Demuestra que sabes extraer información de una imagen.,展示您检测图片相关信息的能力。,證明您可以偵測圖片的相關資訊。,이미지 정보를 알아낼 수 있는지 보여주세요.,請證明您可識別圖片的資料。
challenge-1-assignment,"<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/doggo1.png"" style=""float: left; padding-right: 36px"" />
The image in file **doggo1.png** contains an adorable dog, yes, but what is his breed? Using **gcloud**, send this precious pup through Google''s Vision API and report back what the most prominent breed is.<br />When you think you know the answer, type **answer** and press ENTER.<br /><br />**Hint**: Type **gcloud ml vision** to get started.","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/doggo1.png"" style=""float: left; padding-right: 36px"" />
A imagem no arquivo **doggo1.png** contém um cãozinho fofo. Mas qual é a raça dele? Usando a **gcloud**, envie esse filhote para a API Vision do Google e informe qual é a raça mais proeminente.<br />Quando souber a resposta, digite **answer** e pressione ENTER.<br /><br />**Dica**: digite **gcloud ml vision** para começar.","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/doggo1.png"" style=""float: left; padding-right: 36px"" />
En la imagen del archivo **doggo1.png** aparece un perro adorable, eso no hay quien lo dude. Pero ¿de qué raza es? Usa un comando **gcloud** para enviar la imagen a la API Vision de Google, que la analizará, y dinos a qué raza pertenece en mayor medida este precioso cachorrito.<br />Cuando creas que conoces la respuesta correcta, escribe **answer** y pulsa Intro.<br /><br />**Nota:** Escribe **gcloud ml vision** para empezar.","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/doggo1.png"" style=""float: left; padding-right: 36px"" />
文件 **doggo1.png** 包含一张可爱的狗狗图片，没错，但这是什么品种的狗狗呢？借助 **gcloud**，您可以通过 Google 的 Vision API 发送这张可爱的狗狗图片，然后该 API 便会报告这只狗狗最明显的品种特征。<br />当您认为自己找到了答案时，请输入 **answer** 并按 ENTER 键。<br /><br />**提示**：输入 **gcloud ml vision** 即可开始使用。","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/doggo1.png"" style=""float: left; padding-right: 36px"" />
**doggo1.png** 圖檔中出現了一隻可愛的小狗，請問它是什麼品種？請使用 **gcloud**，透過 Google 的 Vision API 這隻小寶貝的圖片，然後回報最可能的品種是什麼。<br />當您認為自己知道答案時，請輸入 **answer**，然後按下 ENTER 鍵。<br /><br />**提示**：輸入 **gcloud ml vision** 即可開始。","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/doggo1.png"" style=""float: left; padding-right: 36px"" />
**doggo1.png** 파일의 이미지에 귀여운 강아지 한 마리가 있습니다. 이 강아지는 무슨 종일까요? **gcloud**로 Google의 Vision API를 통해 이 귀여운 강아지의 이미지를 전송하고 가장 유력한 종이 무엇인지 다시 알려주세요.<br />답을 알고 있다면 **answer**를 입력한 후 Enter 키를 누르세요.<br /><br />**힌트**: 시작하려면 **gcloud ml vision**을 입력하세요.","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/doggo1.png"" style=""float: left; padding-right: 36px"" />
 檔案内的圖片**doggo1.png**中有一隻可愛小狗，這隻狗屬於哪一品種？使用**gcloud**，透過 Google 的 Vision API 傳送這隻珍貴小狗，並匯報其最明顯的所屬品種。<br />找到答案後，請輸入**answer**，然後按 ENTER。<br /><br />**提示**：輸入**gcloud ml vision**即可開始。"
challenge-2-title,Level 2: Transcribe Audio to Text,Nível 2: transcrição de áudio em texto,Nivel 2: Transcribir audio a texto,第 2 关：将音频转录为文本,第 2 級：將音訊轉錄為文字,수준 2: 오디오를 텍스트로 변환,第 2 級：將聲音轉錄為文字
challenge-2-teaser,Show you can detect information about some audio files.,Mostre que você consegue detectar informações sobre alguns arquivos de áudio.,Demuestra que sabes extraer información de archivos de audio.,展示您检测某些音频文件的相关信息的能力。,證明您可以偵測一些音訊檔案的相關資訊。,일부 오디오 파일 정보를 알아낼 수 있는지 보여주세요.,請證明您可識別音效檔案的資料。
challenge-2-assignment,"There are three audio files: **quote1.wav**, **quote2.wav**, and **quote3.wav**. Test your pop culture knowledge by identifying the undeniably classic 90's movie these quotes are from. Convert the audio into text using the Speech to Text API and report back with the title of the film. \nWhen you think you know the answer, type **answer** and press ENTER.  \n**Hint**: Type **gcloud ml speech** to get started.","Há três arquivos de áudio: **quote1.wav**, **quote2.wav** e **quote3.wav**. Teste seu conhecimento sobre a cultura pop identificando de quais filmes clássicos dos anos 90 essas frases foram retiradas. Converta o áudio em texto usando a API Speech to Text e informe o título do filme. \nQuando souber a resposta, digite **answer** e pressione ENTER.  \n**Dica**: Digite **gcloud ml speech** para começar.","Hay tres archivos de audio: **quote1.wav**, **quote2.wav** y **quote3.wav**. Para poner a prueba tus conocimientos de cultura popular, identifica las innegablemente clásicas películas de los 90 de las que proceden estas citas. Convierte el audio en texto mediante la API Speech to Text, que lo analizará, y dinos el título de la película. \nCuando creas que conoces la respuesta correcta, introduce **answer** y pulsa Intro.  \n**Nota:** Escribe **gcloud ml speech** para empezar.",有三个音频文件，它们分别是 **quote1.wav**、**quote2.wav** 和 **quote3.wav**。请辨别这些台词引自哪些毋庸置疑的 90 年代经典影片，以测试您对流行文化的了解程度。您可以使用 Speech to Text API 将音频转换为文本，随后该 API 会返回相应影片的标题。\n如果您认为自己知道答案，请输入 **answer** 并按 ENTER 键。\n**提示**：输入 **gcloud ml speech** 即可开始使用。,共有三個音訊檔案：**quote1.wav**、**quote2.wav** 和 **quote3.wav**。告訴我們這些台詞是出自於哪些 90 年代的經典電影，測試一下您對流行文化的瞭解程度如何。請使用 Speech to Text API 將音訊轉換為文字，然後回報電影片名。\n當您認為自己知道答案時，請輸入 **answer**，然後按下 ENTER 鍵。\n **提示**：輸入 **gcloud ml speech** 即可開始。,"**quote1.wav**, **quote2.wav**, **quote3.wav**라는 3개의 오디오 파일이 있습니다. 이 영화대사가 등장한 90년대 고전 영화 제목을 알아맞춰 대중 문화에 대해 얼마나 잘 알고 있는지 테스트해 보세요. Speech-to-Text API를 사용해 오디오를 텍스트로 변환하고 영화 제목을 다시 알려주세요. \n답을 알고 있다면 **answer**를 입력한 후 Enter 키를 누르세요.  \n**힌트**: 시작하려면 **gcloud ml speech**를 입력하세요.",我們提供了三個音效檔案：**quote1.wav**、**quote2.wav**和**quote3.wav**。請識別這些對白來自哪一部 90 年代經典電影，以測試您的流行文化知識。請使用 Speech to Text API，將聲音轉換為文字，並匯報電影名稱。\n找到答案後，請輸入**answer**，然後按 ENTER。\n**提示**：輸入**gcloud ml speech**即可開始。
challenge-3-title,Level 3: Analyze a video,Nível 3: análise de vídeo,Nivel 3: Analizar un vídeo,第 3 关：分析视频,第 3 級：分析影片,수준 3: 동영상 분석,第 3 級：分析影片
challenge-3-teaser,Show you can detect information about a video.,Mostre que você consegue detectar informações sobre um vídeo.,Demuestra que sabes extraer información de un vídeo.,展示您检测视频相关信息的能力。,證明您可以偵測影片的相關資訊。,동영상에 대한 정보를 알아낼 수 있는지 보여주세요.,請證明您可識別影片的資料。
challenge-3-assignment,"<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/video1.gif"" style=""float: left; padding-right: 36px"" />
The puppy in **video1.mp4** wants to be your friend! But only if you can find her. Using **gcloud**, send this good girl through Google''s Video Intelligence API and report back the starting time in seconds (for example, ""7"") when she appears.<br /><br />When you think you know the answer, type **answer** and press ENTER.<br
    />**Hint**: Type **gcloud ml video** to get started.","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/video1.gif"" style=""float: left; padding-right: 36px"" />
O cãozinho no **video1.mp4** quer ser seu amigo! Mas só se você conseguir encontrá-lo. Usando a**gcloud**, envie o filhote para a API Video Intelligence do Google e informe os segundos (por exemplo, ""7"") em que ele começa a aparecer.<br /><br />Quando souber a resposta, digite **answer** e pressione ENTER.<br
    />**Dica**: digite **gcloud ml video** para começar.","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/video1.gif"" style=""float: left; padding-right: 36px"" />
La cachorrita que aparece en **video1.mp4** quiere ser tu amiga. Pero solo si la encuentras. Usa un comando **gcloud**para enviar el vídeo a la API Video Intelligence de Google, que lo analizará, y dinos el momento exacto en segundos en el que aparece el animalito (por ejemplo: ""7"").<br /><br />Cuando creas que conoces la respuesta correcta, introduce **answer** y pulsa Intro.<br
    />**Nota:** Escribe **gcloud ml video** para empezar.","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/video1.gif"" style=""float: left; padding-right: 36px"" />
**video1.mp4** 里的小狗想成为您的朋友！前提是您能够找到它。借助 **gcloud**，您可以将这只可爱小狗的视频发送到 Google 的 Video Intelligence API，该 API 会以秒为单位返回小狗在视频中开始出现的时间（例如“7”）。<br /><br />当您认为自己知道答案时，请输入 **answer** 并按 ENTER 键。<br
    />**提示**：输入 **gcloud ml video** 即可开始使用。","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/video1.gif"" style=""float: left; padding-right: 36px"" />
**video1.mp4** 中的小狗想要跟您做朋友！但您必須能找到她。請使用 **gcloud**，透過 Google 的 Video Intelligence API 傳送這隻乖寶寶的影片，然後回報她是在影片中的第幾秒出現的 (例如「7」)。<br /><br />當您認為自己知道答案時，請輸入 **answer**，然後按下 ENTER 鍵。<br
    />**提示**：輸入 **gcloud ml video** 即可開始。","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/video1.gif"" style=""float: left; padding-right: 36px"" />
**video1.mp4** 동영상 속 강아지가 여러분과 친구가 되고 싶어합니다. 하지만 여러분만이 강아지를 찾을 수 있답니다. **gcloud**를 사용해 Google의 Video Intelligence API로 강아지 동영상을 보낸 다음 강아지가 화면에 나타나는 시작 시간을 초 단위(예: '7초')로 다시 알려주세요.<br /><br />답을 알고 있다면 **answer**를 입력한 후 Enter 키를 누르세요.<br
    />**힌트**: 시작하려면 **gcloud ml video**를 입력하세요.","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/video1.gif"" style=""float: left; padding-right: 36px"" />
 **video1.mp4**中的小狗希望成為您的朋友！不過您必須把她找出來。使用**gcloud**，透過 Google 的 Video Intelligence API 傳送這隻可愛小狗，並匯報她首次出現的時間是第幾秒 (例如「7」)。<br />找到答案後，請輸入**answer**，然後按 ENTER。<br /><br
 />**提示**：輸入**gcloud ml video**即可開始。"
challenge-4-title,Level 4: Identify sensitive data in text,Nível 4: identificação de dados confidenciais em texto,Nivel 4: Identificar datos sensibles en un texto,第 4 级：识别文本中的敏感数据,第 4 級：識別文字中的機密資料,수준 4: 텍스트에서 민감한 정보 식별,第 4 級：識別文字中的敏感資料
challenge-4-teaser,Prove you can identify sensitive data from a body of text using DLP.,Mostre que você consegue identificar dados confidenciais de um corpo de texto usando o DLP.,Demuestra que sabes localizar datos sensibles en el cuerpo de un texto con Data Loss Prevention (DLP).,展示您使用 DLP 从文本正文中识别敏感数据的能力。,證明您可以使用 DLP 識別內文中的機密資料。,DLP를 사용하여 텍스트 본문에서 민감한 정보를 식별할 수 있는지 입증하세요.,請證明您可使用 DLP (資料遺失防護) 識別文字中的敏感資料。
challenge-4-assignment,"Oh no! Someone wrote a memo containing sensitive information! You need to scan the text in **memo.txt** and find out what it is. Lucky for you, the DLP API can identify sensitive information.\nThere is only one name in ""memo.txt"" with the likelyhood of ""Likely"". What is that name? \nWhen you think you know the answer, type **answer** and press ENTER.\n\n**Hint**: Type **gcloud alpha dlp** to get started.","Ah, não! Alguém escreveu informações confidenciais em uma nota! Digitalize o texto em **memo.txt** e descubra que informação é essa. Ainda bem que a API DLP consegue identificar informações confidenciais.\nExiste apenas um nome no ""memo.txt"" com status ""Provável"". Que nome é esse? \nQuando souber a resposta, digite **answer** e pressione ENTER.\n\n**Dica**: digite **gcloud alpha dlp** para começar.","¡No puede ser! Alguien ha escrito una nota que contiene información sensible. Analiza el texto de **memo.txt** para descubrir qué contiene. Por suerte, puedes usar la API Data Loss Prevention para encontrar esa información.\nEn ""memo.txt"" solo aparece un nombre con el valor de probabilidad ""Likely"". ¿Cuál es ese nombre? \nCuando creas que conoces la respuesta, escribe **answer** y pulsa Intro.\n\n**Nota:** Escribe **gcloud alpha dlp** para empezar.",糟糕！有人写了一份包含敏感信息的备忘录！您需要扫描 **memo.txt** 中的文本并弄清具体的敏感信息。幸运的是，您可以借助 DLP API 来识别敏感信息。\n“memo.txt”中只有一个可能像“Likely”的名字。这个名字是什么？ \n当您认为自己找到了答案时，请输入 **answer** 并按 ENTER 键。\n\n**提示**：输入 **gcloud alpha dlp** 即可开始使用。,糟糕！有人寫了一份備忘錄，其中包含機密資訊！您必須掃描 **memo.txt** 中的文字，並找出那項機密資訊是什麼。幸運的是，DLP API 可以識別機密資訊。\n「memo.txt」中很可能只有一個名字。這個名字是什麼？\n當您認為自己知道答案時，請輸入 **answer**，然後按下 ENTER 鍵。\n\n**提示**：輸入 **gcloud alpha dlp**即可開始。,"이런, 어떤 사람이 민감한 정보를 메모로 작성했네요. **memo.txt**에 포함된 텍스트를 검사하여 내용을 확인해야 합니다. 다행히 DLP API를 사용하면 민감한 정보를 식별할 수 있습니다.\n'memo.txt'에는 이름이 하나만 있고, 일치 가능성은 'Likely'입니다. 그 이름은 무엇인가요? \n답을 알고 있다면 **answer**를 입력하고 Enter 키를 누르세요.\n\n**힌트**: 시작하려면 **gcloud alpha dlp**를 입력하세요.",哇！不妙！有人寫了張含有敏感資料的便條！您必須分析**memo.txt**中的文字並找出此資料。幸運地，DLP API 可識別敏感資料。 \n「memo.txt」只含有一個名字，可能性是「可能」。此名字是什麽？\n找到答案後，請輸入**answer**，然後按 ENTER。 \n\n**提示**：輸入**gcloud alpha dlp**即可開始。